1;klangvoll;klanglos;sonorous;flat
2;tief;hoch;low;high
3;nasal;nicht nasal;nasal;not nasal
4;stumpf;scharf;blunt;sharp
5;gleichm„áig;ungleichm„áig;even;uneven
6;akzentfrei;mit Akzent;accented;without accent
7;dunkel;hell;dark;bright
8;leise;laut;quiet;loud
9;knarrend;nicht knarrend;creaky;not creaky
10;variabel;monoton;variable;monotonous
11;angenehm;unangenehm;pleasant;unpleasant
12;deutlich;undeutlich;articulate;inarticulate
13;rau;glatt;coarse;not coarse
14;klar;heiser;clear;hoarse
15;unauff„llig;auff„llig;not remarkable;remarkable
16;schnell;langsam;quick;slow
17;kalt;warm;cold;warm
18;unnatrlich;natrlich;unnatural;natural
19;stabil;zittrig;stable;shaky
20;unpr„zise;pr„zise;imprecise;precise
21;brchig;fest;brittle;firm
22;unmelodisch;melodisch;not melodious;melodious
23;angespannt;entspannt;tense;relaxed
24;holprig;gleitend;bumpy;smooth
25;lang;kurz;long;short
26;locker;gepresst;lax;pressed
27;kraftvoll;kraftlos;powerful;powerless
28;flssig;stockend;fluent;halting
29;weich;hart;soft;hard
30;professionell;unprofessionell;professional;unprofessional
31;betont;unbetont;emphasized;not emphasized
32;sanft;schrill;gentle;shrill
33;getrennt;verbunden;disjointed;jointed
34;nicht behaucht;behaucht;not breathy;breathy
