distnum;distcode
0;Clean
1;NB_G711_A_64
2;NB_G711_u_64
3;NB_G7231_5_3
4;NB_G7231_6_3
5;NB_GSMEFR_12_2
6;NB_AMRNB_4_75
7;NB_AMRNB_5_15
8;NB_AMRNB_5_9
9;NB_AMRNB_6_7
10;NB_AMRNB_7_4
11;NB_AMRNB_7_95
12;NB_AMRNB_10_2
13;NB_AMRNB_12_2
14;NB_Speex_2_15
15;NB_Speex_11
16;NB_Speex_24_6
17;WB_G722_64
18;WB_AMRWB_6_6
19;WB_AMRWB_8_85
20;WB_AMRWB_12_65
21;WB_AMRWB_14_25
22;WB_AMRWB_15_85
23;WB_AMRWB_18_25
24;WB_AMRWB_19_85
25;WB_AMRWB_23_05
26;WB_AMRWB_23_85
27;WB_Speex_3_95
28;WB_Speex_23_8
29;WB_Speex_42_2
30;WB_AMRWB+_10_4
31;WB_AMRWB+_12
32;WB_AMRWB+_13_6
33;WB_AMRWB+_15_2
34;WB_AMRWB+_16_8
35;WB_AMRWB+_19_2
36;WB_AMRWB+_20_8
37;WB_AMRWB+_24
38;SWB_G7221C_24
39;SWB_G7221C_32
40;SWB_G7221C_48
41;SWB_EVS_7_2
42;SWB_EVS_24_4
43;SWB_EVS_32
44;SWB_EVS_48
45;SWB_EVS_64
46;SWB_EVS_96
47;SWB_EVS_128
48;SWB_Opus_24
49;SWB_Opus_32
50;SWB_Opus_48
51;SWB_Opus_64
52;SWB_Opus_128
53;SWB_Opus_160